Date,Open,High,Low,Close,Adj Close,Volume
11/2/2020,56400,57500,56000,57400,52327.99609,20489076
11/3/2020,57900,58900,57600,58800,53604.29688,14950919
11/4/2020,58900,59000,57800,58500,53330.80469,21718561
11/5/2020,59000,60300,58800,60300,54971.74609,20639475
11/6/2020,60700,60800,59600,60100,54789.41797,16910230
11/9/2020,60700,60900,60100,60200,54880.58203,15892961
11/10/2020,60500,60500,59500,60200,54880.58203,19073552
11/11/2020,60700,61400,60400,61300,55883.39063,25628510
11/12/2020,61000,61400,60700,61000,55609.89453,19800573
11/13/2020,61300,63200,61000,63200,57615.50391,31508829
11/16/2020,64000,66700,63900,66300,60441.57422,36354334
11/17/2020,67000,67000,65600,65700,59894.59375,30204089
11/18/2020,65700,66200,64700,64800,59074.12109,22963790
11/19/2020,64100,64800,63900,64600,58891.78906,16590290
11/20/2020,63900,65200,63900,64700,58982.96094,15068682
11/23/2020,64800,67800,64700,67500,61535.53906,27134398
11/24/2020,67900,69500,67000,67700,61717.87891,32158235
11/25/2020,67900,68300,66500,66600,60715.06641,32447065
11/26/2020,66100,68000,66000,68000,61991.34766,19023323
11/27/2020,68000,68400,67600,68200,62173.68359,14063434
11/30/2020,68400,68600,66700,66700,60806.23828,43811016
12/1/2020,67100,68300,67100,67800,61809.03516,22327173
12/2/2020,68400,69900,68300,69500,63358.8125,29703942
12/3/2020,70100,70500,69300,69700,63541.14844,23677989
12/4/2020,70400,72100,70100,71500,65182.09766,28130533
12/7/2020,72400,73500,71900,72900,66458.38281,28490496
12/8/2020,72200,72900,71600,71700,65364.42578,25000338
12/9/2020,72100,73900,72000,73900,67370.01563,24077996
12/10/2020,72700,73800,72500,72900,66458.38281,39882928
12/11/2020,73500,73800,73100,73400,66914.21875,18486672
12/14/2020,73600,74500,73200,73800,67278.86719,21510415
12/15/2020,73800,74100,73300,73800,67278.86719,20863671
12/16/2020,74100,74500,73400,73800,67278.86719,17512081
12/17/2020,73400,73700,72600,73300,66823.03906,24293214
12/18/2020,73300,73700,73000,73000,66549.55469,17613029
12/21/2020,73100,73400,72000,73000,66549.55469,20367355
12/22/2020,72500,73200,72100,72300,65911.38281,16304910
12/23/2020,72400,74000,72300,73900,67370.01563,19411326
12/24/2020,74100,78800,74000,77800,70925.40625,32502870
12/28/2020,79000,80100,78200,78700,71745.88281,40085044
12/29/2020,78800,78900,77300,78300,73177.66406,30339449
12/30/2020,77400,81300,77300,81000,75701.03906,29417421
1/4/2021,81000,84400,80200,83000,77570.1875,38655276
1/5/2021,81600,83900,81600,83900,78411.3125,35335669
1/6/2021,83300,84500,82100,82200,76822.52344,42089013
1/7/2021,82800,84200,82700,82900,77476.73438,32644642
1/8/2021,83300,90000,83000,88800,82990.75781,59013307
1/11/2021,90000,96800,89500,91000,85046.84375,90306177
1/12/2021,90300,91400,87800,90600,84673.01563,48682416
1/13/2021,89800,91200,89100,89700,83831.88281,36068848
1/14/2021,88700,90000,88700,89700,83831.88281,26393970
1/15/2021,89800,91800,88000,88000,82243.08594,33431809
1/18/2021,86600,87300,84100,85000,79439.34375,43227951
1/19/2021,84500,88000,83600,87000,81308.50781,39895044
1/20/2021,89000,89000,86500,87200,81495.42969,25211127
1/21/2021,87500,88600,86500,88100,82336.5625,25318011
1/22/2021,89000,89700,86800,86800,81121.59375,30861661
1/25/2021,87000,89900,86300,89400,83551.50781,27258534
1/26/2021,88800,89200,86500,86700,81028.14844,33178936
1/27/2021,86600,87700,85600,85600,80000.10156,26423070
1/28/2021,83200,85600,83200,83700,78224.40625,31859808
1/29/2021,84500,85000,82000,82000,76635.60156,39615978
2/1/2021,81700,83400,81000,83000,77570.1875,28046832
2/2/2021,84100,86400,83700,84400,78878.61719,26302077
2/3/2021,84800,85400,83400,84600,79065.51563,22112205
2/4/2021,83500,83800,82100,82500,77102.90625,24171688
2/5/2021,83100,84000,82500,83500,78037.48438,18036835
2/8/2021,83800,84200,83000,83000,77570.1875,15338765
2/9/2021,84000,84800,82700,82700,77289.8125,20898332
2/10/2021,82600,82600,81600,81600,76261.78906,23025766
2/15/2021,83800,84500,83300,84200,78691.6875,23529706
2/16/2021,84500,86000,84200,84900,79345.89063,20483100
2/17/2021,83900,84200,83000,83200,77757.10156,18307735
2/18/2021,83200,83600,82100,82100,76729.08594,21327683
2/19/2021,82300,82800,81000,82600,77196.35938,25880879
2/22/2021,83800,84200,82200,82200,76822.52344,25419886
2/23/2021,81200,82900,81100,82000,76635.60156,20587314
2/24/2021,81800,83600,81300,82000,76635.60156,26807651
2/25/2021,84000,85400,83000,85300,79719.73438,34155986
2/26/2021,82800,83400,82000,82500,77102.90625,38520800
3/2/2021,85100,85300,83000,83600,78130.9375,33498180
3/3/2021,83500,84000,82800,84000,78504.77344,19882132
3/4/2021,82600,83200,82200,82400,77009.46094,24348331
3/5/2021,81100,82600,81100,82100,76729.08594,20508971
3/8/2021,82900,83000,81600,82000,76635.60156,17641256
3/9/2021,81400,81900,80600,81400,76074.86719,25420764
3/10/2021,82400,82500,80700,80900,75607.57031,20038422
3/11/2021,81000,82500,81000,82000,76635.60156,23818297
3/12/2021,83100,83500,82400,82800,77383.28125,13530573
3/15/2021,82800,82900,81800,81800,76448.69531,13735798
3/16/2021,82200,83000,82100,82800,77383.28125,12293537
3/17/2021,82800,82900,82000,82300,76915.98438,11625146
3/18/2021,82800,83800,82600,82900,77476.73438,18585244
3/19/2021,82100,82500,81800,81900,76542.16406,15869700
3/22/2021,82000,82300,81700,82000,76635.60156,12670506
3/23/2021,82600,82900,81800,81800,76448.69531,13299907
3/24/2021,81000,81600,80700,81000,75701.03906,17926638
3/25/2021,81000,82100,80800,81200,75887.94531,14758826
3/26/2021,81400,81600,81000,81500,76168.32031,12845778
3/29/2021,81700,81700,81000,81600,76261.78906,14952134
3/30/2021,81600,82300,81300,82200,77163.90625,13121698
3/31/2021,82400,82700,81400,81400,76412.91406,17240518
4/1/2021,82500,83000,82000,82900,77821.00781,18676461
4/2/2021,84000,85200,83900,84800,79604.60938,22997538
4/5/2021,85800,86000,84800,85400,80167.85156,16255990
4/6/2021,86200,86200,85100,86000,80731.08594,19042023
4/7/2021,86100,86200,85400,85600,80355.60156,17885538
4/8/2021,85700,85700,84100,84700,79510.75,19244259
4/9/2021,84700,84900,83400,83600,78478.13281,18193707
4/12/2021,84100,84100,83100,83200,78102.64063,12915282
4/13/2021,83000,84500,82800,84000,78853.63281,15238206
4/14/2021,84000,84300,83400,84000,78853.63281,13794652
4/15/2021,83700,84500,83400,84100,78947.5,16377412
4/16/2021,84700,84700,83600,83900,78759.75,15429522
4/19/2021,83800,84000,83300,83300,78196.50781,15287311
4/20/2021,83300,84000,83100,83900,78759.75,15521965
4/21/2021,83300,83500,82500,82600,77539.39063,21636079
4/22/2021,82900,83000,82400,82400,77351.65625,13934746
4/23/2021,81900,82900,81600,82800,77727.14063,17805080
4/26/2021,82900,83500,82600,83500,78384.26563,15489938
4/27/2021,83200,83300,82500,82900,77821.00781,12941533
4/28/2021,83200,83200,82100,82100,77070.03125,15596759
4/29/2021,82400,82500,81500,81700,76694.55469,20000973
4/30/2021,81900,82100,81500,81500,76506.78906,18673197
5/3/2021,81000,82400,81000,81700,76694.55469,15710336
5/4/2021,81900,82600,81800,82600,77539.39063,12532550
5/6/2021,81700,82300,81700,82300,77257.77344,17047511
5/7/2021,81800,82100,81500,81900,76882.28125,14154882
5/10/2021,82300,83500,81800,83200,78102.64063,19385027
5/11/2021,82500,82600,81100,81200,76225.16406,28996680
5/12/2021,80800,81200,79800,80000,75098.70313,35812268
5/13/2021,78900,79600,78400,78500,73690.58594,31490096
5/14/2021,79000,80300,78900,80100,75192.57031,16450920
5/17/2021,80800,80900,79200,79600,74723.20313,17740855
5/18/2021,79600,80000,79100,79600,74723.20313,17494407
5/20/2021,79400,79700,79100,79500,74629.32813,16541828
5/21/2021,80100,81500,79800,80100,75192.57031,20961714
5/24/2021,80100,80400,79500,79700,74817.07031,13398666
5/25/2021,80000,80400,79800,79900,75004.8125,13628942
5/26/2021,80400,80500,79700,79800,74910.94531,11984359
5/27/2021,80000,80000,79100,79600,74723.20313,23198510
5/28/2021,79800,80400,79400,80100,75192.57031,12360199
5/31/2021,80300,80600,79600,80500,75568.05469,13321324
6/1/2021,80500,81300,80100,80600,75661.92188,14058401
6/2/2021,80400,81400,80300,80800,75849.67969,16414644
6/3/2021,81300,83000,81100,82800,77727.14063,29546007
6/4/2021,82700,82700,81500,82200,77163.90625,18112259
6/7/2021,82700,82800,81600,81900,76882.28125,16496197
6/8/2021,82300,82600,81800,81900,76882.28125,12781226
6/9/2021,81500,82000,81100,81100,76131.28125,14908823
6/10/2021,81300,81400,80900,81000,76037.42969,17586995
6/11/2021,81200,81700,80700,81000,76037.42969,14087962
6/14/2021,80800,80900,80500,80500,75568.05469,10550078
6/15/2021,80900,81200,80600,80900,75943.54688,10075685
6/16/2021,81500,81900,81100,81800,76788.41406,14999855
6/17/2021,81100,81300,80700,80900,75943.54688,14007385
6/18/2021,81100,81100,80500,80500,75568.05469,14916721
6/21/2021,79700,80000,79600,79900,75004.8125,16063340
6/22/2021,80200,80300,79900,80000,75098.70313,11773365
6/23/2021,80500,80600,79900,80100,75192.57031,13856548
6/24/2021,80400,81400,80100,81200,76225.16406,18771080
6/25/2021,81500,81900,81200,81600,76600.67188,13481405
6/28/2021,81700,82000,81600,81900,76882.28125,11578529
6/29/2021,81900,82100,80800,81000,76374.07031,15744317
6/30/2021,81100,81400,80700,80700,76091.19531,13288643
7/1/2021,80500,80600,80000,80100,75525.47656,13382882
7/2/2021,80000,80400,79900,80000,75431.17969,8753097
7/5/2021,80100,80800,80000,80400,75808.32031,8330969
7/6/2021,80600,81200,80500,81200,76562.65625,12131651
7/7/2021,81200,81300,80300,80800,76185.48438,15992202
7/8/2021,81100,81200,79900,79900,75336.89844,16660998
7/9/2021,79600,79800,79000,79400,74865.44531,22720577
7/12/2021,79900,80000,79500,79700,75148.3125,9768108
7/13/2021,80000,80200,79800,79800,75242.60156,9863450
7/14/2021,79400,79600,79100,79500,74959.73438,11575636
7/15/2021,79800,80600,79500,80600,75996.89844,13766279
7/16/2021,80100,80100,79500,79800,75242.60156,10859399
7/19/2021,79100,79200,78800,79000,74488.29688,13155414
7/20/2021,78500,79000,78400,79000,74488.29688,12456646
7/21/2021,79000,79100,78500,78500,74016.84375,12355296
7/22/2021,79000,79800,78900,79700,75148.3125,12618790
7/23/2021,79700,79900,79200,79300,74771.14844,9098910
7/26/2021,79400,79500,78800,78800,74299.71094,10040975
7/27/2021,79200,79400,78500,78500,74016.84375,11427693
7/28/2021,78300,79200,78100,79200,74676.85938,12743417
7/29/2021,78800,79400,78800,79000,74488.29688,14360453
7/30/2021,78900,78900,78500,78500,74016.84375,13823411
8/2/2021,79200,79500,78700,79300,74771.14844,11739124
8/3/2021,79400,81400,79300,81400,76751.22656,24339360
8/4/2021,82200,83100,81800,82900,78165.55469,25642368
8/5/2021,83300,83300,82000,82100,77411.25,18485469
8/6/2021,81900,82500,81300,81500,76845.51563,13342623
8/9/2021,81500,82300,80900,81500,76845.51563,15522581
8/10/2021,82300,82400,80100,80200,75619.76563,20362639
8/11/2021,79600,79800,78500,78500,74016.84375,30241137
8/12/2021,77100,78200,76900,77000,72602.5,42365223
8/13/2021,75800,76000,74100,74400,70150.98438,61270643
8/17/2021,74000,75100,74000,74200,69962.42188,30944847
8/18/2021,73900,74600,73100,73900,69679.53906,29192631
8/19/2021,73500,74400,73100,73100,68925.25,22166298
8/20/2021,73500,73900,72500,72700,68548.08594,22364803
8/23/2021,73300,74000,73000,73300,69113.82031,19384648
8/24/2021,73900,75700,73900,75600,71282.46875,21016913
8/25/2021,76200,76600,74900,75700,71376.75,22319664
8/26/2021,76100,76200,74600,74600,70339.5625,16671494
8/27/2021,74300,75000,73800,74300,70056.71094,15172748
8/30/2021,75400,75500,74200,74600,70339.5625,12686999
8/31/2021,74900,76700,74300,76700,72319.64063,24630370
9/1/2021,76700,77100,75900,76800,72413.91406,16114775
9/2/2021,76800,76800,75700,76000,71659.61719,15347486
9/3/2021,76400,76700,76000,76600,72225.34375,12096419
9/6/2021,76800,77600,76600,77300,72885.375,12861180
9/7/2021,77100,77100,75900,76100,71753.90625,13239401
9/8/2021,76000,76400,75600,76300,71942.48438,11798147
9/9/2021,76400,76600,75000,75300,70999.60938,17600770
9/10/2021,75300,75600,74800,75300,70999.60938,10103212
9/13/2021,75200,76300,75100,76300,71942.48438,11397775
9/14/2021,77100,77700,76600,76600,72225.34375,18167057
9/15/2021,77400,77400,76400,77000,72602.5,12829128
9/16/2021,77300,77400,76100,76100,71753.90625,13067622
9/17/2021,76300,77200,75900,77200,72791.09375,16289502
9/23/2021,77500,77600,76800,77400,72979.66406,17055590
9/24/2021,77600,77700,77100,77300,72885.375,12247274
9/27/2021,77300,77700,77000,77700,73262.53125,11699798
9/28/2021,77700,77800,76200,76300,71942.48438,15406382
9/29/2021,74800,75300,73800,74100,70200.26563,23992458
9/30/2021,74300,74800,73700,74100,70200.26563,19919361
10/1/2021,73900,74000,72900,73200,69347.625,15803395
10/5/2021,73000,73000,71400,72200,68400.24219,24013921
10/6/2021,72600,72800,71200,71300,67547.63281,18956962
10/7/2021,71600,72100,71300,71600,67831.84375,13683532
10/8/2021,72300,72400,71500,71500,67737.10156,14043287
10/12/2021,70700,70900,68700,69000,65368.67578,31001484
10/13/2021,68700,69600,68300,68800,65179.1875,24172015
10/14/2021,69000,69800,68800,69400,65747.63281,19520641
10/15/2021,70200,71000,70000,70100,66410.78125,18051612
10/18/2021,70200,70300,69200,70200,66505.5,13486391
10/19/2021,70800,71000,70400,70600,66884.46875,9507991
10/20/2021,70700,71000,70200,70300,66600.25,10151638
10/21/2021,70300,70600,70000,70200,66505.5,10891094
10/22/2021,70000,70700,70000,70400,66694.99219,8395448
10/25/2021,69900,70600,69500,70200,66505.5,10029621
10/26/2021,70600,71500,70400,71100,67358.15625,10528252
10/27/2021,71000,71000,70000,70100,66410.78125,10295316
10/28/2021,69500,72200,69500,70700,66979.1875,20644902
10/29/2021,71200,71600,69700,69800,66126.5625,17016151
11/1/2021,70200,70600,69900,69900,66221.30469,11503729
11/2/2021,70800,72200,70700,71500,67737.10156,16812570
11/3/2021,71700,71700,70100,70400,66694.99219,12770428
11/4/2021,71200,71600,70500,70600,66884.46875,11818987
11/5/2021,71600,71600,70200,70200,66505.5,12667743
11/8/2021,70400,70600,69800,70600,66884.46875,11121981
11/9/2021,70300,71000,70100,70500,66789.71875,11159589
11/10/2021,70300,70900,70200,70200,66505.5,9422009
11/11/2021,69900,70000,69600,69900,66221.30469,11489122
11/12/2021,70200,70900,69900,70600,66884.46875,10087450
11/15/2021,71700,71900,70900,71400,67642.35938,12420710
11/16/2021,71500,72000,71300,71300,67547.63281,10919239
11/17/2021,71300,71600,70600,70700,66979.1875,11027606
11/18/2021,70700,71000,70200,70200,66505.5,10144957
11/19/2021,70400,71400,70100,71200,67452.875,11954728
11/22/2021,73300,75200,73000,74900,70958.16406,27506623
11/23/2021,76000,76000,74500,75300,71337.125,22029195
11/24/2021,76000,76200,74100,74800,70863.42188,15652305
11/25/2021,75100,75100,73600,73700,69821.3125,12559258
11/26/2021,73500,74100,72000,72300,68494.98438,13002242
11/29/2021,71700,73000,71400,72300,68494.98438,16682559
11/30/2021,73200,73900,70500,71300,67547.63281,30364841
12/1/2021,72000,74800,71600,74400,70484.46875,21954856
12/2/2021,73900,75800,73800,75800,71810.82031,23652940
12/3/2021,75600,76000,74100,75600,71621.32813,18330240
12/6/2021,75100,76700,74900,76300,72284.48438,16391250
12/7/2021,76100,77700,75600,77400,73326.59375,19232453
12/8/2021,78300,78600,77100,77400,73326.59375,21558340
12/9/2021,77400,78200,77000,78200,74084.49219,21604528
12/10/2021,77400,77600,76800,76900,72852.90625,9155219
